,Race,MVPA,Zsum_PSQI,ZSmoke,HEI,New_HEI,ZBMI,ZMetSBP,ZMetSGlucose,LDL_CHOL_CALCULATION
Race,1.0,0.03167691109357402,-0.06674580009935756,0.02118859279891814,0.013752024204048795,0.02986263853137686,-0.1476104640963562,-0.1171022193484551,-0.034691211297829094,-0.088389424636131
MVPA,0.03167691109357402,1.0,-0.096355115156692,0.03099189255184125,0.026339399768331714,0.07683301497077881,-0.08826709764801802,-0.09178612364115843,-0.05145140522404715,0.009265991047239628
Zsum_PSQI,-0.06674580009935756,-0.096355115156692,1.0,0.013109561053764669,0.11812970031635134,-0.036624076693062696,0.013669544076469088,0.02761781060479635,0.01943609857869566,0.02084335662052869
ZSmoke,0.02118859279891814,0.03099189255184125,0.013109561053764669,1.0,0.015566470458524054,-0.008985938822213376,0.00999361518021947,0.004623668628790675,0.04373446893977457,-0.03666864724142167
HEI,0.013752024204048795,0.026339399768331714,0.11812970031635134,0.015566470458524054,1.0,0.018590666987381748,-0.041573192422863475,-0.04475637078798355,-0.00010612186005966027,-0.0323979978311531
New_HEI,0.02986263853137686,0.07683301497077881,-0.036624076693062696,-0.008985938822213376,0.018590666987381748,1.0,-0.06715223885570042,-0.12728069032293543,-0.5328934736243083,-0.06211547691801349
ZBMI,-0.1476104640963562,-0.08826709764801802,0.013669544076469088,0.00999361518021947,-0.041573192422863475,-0.06715223885570042,1.0,0.1505543614577694,0.21304079520981292,-0.02095804466587785
ZMetSBP,-0.1171022193484551,-0.09178612364115843,0.02761781060479635,0.004623668628790675,-0.04475637078798355,-0.12728069032293543,0.1505543614577694,1.0,0.1562274641196716,-0.10710871619212632
ZMetSGlucose,-0.034691211297829094,-0.05145140522404715,0.01943609857869566,0.04373446893977457,-0.00010612186005966027,-0.5328934736243083,0.21304079520981292,0.1562274641196716,1.0,-0.1716204870439039
LDL_CHOL_CALCULATION,-0.088389424636131,0.009265991047239628,0.02084335662052869,-0.03666864724142167,-0.0323979978311531,-0.06211547691801349,-0.02095804466587785,-0.10710871619212632,-0.1716204870439039,1.0
